text,label,source,page
Андріївка – явка з повинною окупантів: дайджест пропаганди РФ за 15 серпня,1,stopfake,1
У біолабораторіях України проводили досліди з коронавірусом кажанів,1,stopfake,1
Білл Гейтс закликав негайно прибрати з ринку усі вакцини COVID-19,1,stopfake,1
Королеву Єлизавету II лікують від COVID-19 «забороненими» ліками,1,stopfake,1
Вакцини проти COVID-19 збільшили дитячу смертність у 52 рази,1,stopfake,1
Відеофейк: У документі про вакцинацію від COVID-19 вказано код для 5G,1,stopfake,1
Канада скасовує всі пов’язані із COVID-19 обмеження у відповідь на масові протести,1,stopfake,1
"FDA визнали, що вакцина Pfizer проти COVID-19 є небезпечною",1,stopfake,1
У всіх вакцинованих від COVID-19 вагітних стався викидень – приховані дані випробувань Pfizer,1,stopfake,1
Вакцинація під час пандемії провокує мутації заразніших варіантів вірусу,1,stopfake,1
Відеофейк: Смерть дитини після щеплення,1,stopfake,2
Знайдено зв’язок між «мінуванням» шкіл в Україні та вакцинацією підлітків,1,stopfake,2
Вакцини від COVID-19 містять мікрочастинки у вигляді «нановосьмонога»,1,stopfake,2
Штам «Омікрон» переважно інфікує тричі вакцинованих людей – італійська професорка,1,stopfake,2
мРНК-вакцини від COVID-19 завдають непоправної шкоди здоров’ю дітей,1,stopfake,2
Відеофейк: У Китаї підліток помер одразу після третьої дози Sinovac,1,stopfake,2
Фотофейк: У Оттаві два мільйони людей вимагали свободи,1,stopfake,2
Бельгійський біолог розкриває технологію «піару пландемій»,1,stopfake,2
"Колону вантажівок канадських далекобійників, які протестували проти вакцинації, внесли до Книги рекордів Гіннеса",1,stopfake,2
Продуктова картка в Україні буде доступною лише з вакцинацією та реєстрацією у «Дії»,1,stopfake,2
Міжнародний суд у Гаазі визнав пандемію COVID-19 геноцидом і фейком,1,stopfake,3
"Десятки тисяч громадян ЄС померли через побічні ефекти вакцини, – депутат Європарламенту Колакушич",1,stopfake,3
Поствакцинальний детокс після щеплення від COVID-19,1,stopfake,3
Пігулки з мікрочипом для контролю над населенням – зізнання генерального директора Pfizer,1,stopfake,3
"Велика кількість невакцинованих у лікарнях – обман, – відео з клініки в Італії",1,stopfake,3
96% випадків заражень «Омікроном» у Німеччині припадають на повністю вакцинованих,1,stopfake,3
"В Україні школи, дитсадки та ЗВО переходять на дистанційне навчання з 31 січня",1,stopfake,3
Мобільні телефони змінюють організм на клітинному рівні,1,stopfake,3
