text,label,source,page
"«Агресія України проти Молдови», – три фейки про російську атаку на Дністровську ГЕС",1,stopfake,1
Німецькі пожежники висміяли мобілізацію в Україні,1,stopfake,1
Українська молодь «стала на захист російської мови»,1,stopfake,1
В Україні пенсіонерів та переселенців годуватимуть простроченими продуктами,1,stopfake,1
Українські військові «знищили половецькі статуї під виглядом дерусифікації»,1,stopfake,1
В Одесі з університету звільнили професора «за відповідь студенту російською мовою»,1,stopfake,1
У Павлограді військові масово помирають від епідемії невідомої хвороби,1,stopfake,1
В Україні «не буде посівної кампанії» у 2026 році,1,stopfake,1
Відсторонений начальник ТЦК тримав у рабстві громадян Угорщини,1,stopfake,1
"«Угорська поліція затримала українського художника, який труїв домашніх собак, — Le Monde»",1,stopfake,1
"Al Jazeera повідомила, що український фахівець із боротьби з БпЛА, якого відправили на",1,stopfake,2
"У Франції попереджали про загрозу терактів на виборах, але влада «не діяла»",1,stopfake,2
Українські школярі в Польщі відмовляються від української мови на користь російської,1,stopfake,2
"Зеленському не потрібні українські діти, які перебувають у Росії, — Лукашенко",1,stopfake,2
В Україні зросли ціни через підвищення військового збору,1,stopfake,2
ЗСУ «відмовляються від навчання військових за кордоном через дезертирство»,1,stopfake,2
Український військовослужбовець «влаштував теракт у Бучі»,1,stopfake,2
62% німців хочуть бачити Путіна канцлером Німеччини — Der Spiegel,1,stopfake,2
Французька поліція вистрілила в ногу учасника антиукраїнських мітингів в Парижі,1,stopfake,2
Понад 300 українських активістів затримали біля посольств США у Європі — AFP,1,stopfake,2
"Україна «вкрала 26 млрд доларів, виділених їй у рамках американської програми USAID»",1,stopfake,3
В Україні переслідуватимуть громадян за реєстрацію за законами РФ майна на окупованих територіях,1,stopfake,3
Очільниця МЗС Румунії «передбачила» війну США проти «ісламізованої» Франції,1,stopfake,3
"У лікарні Тернополя померла 15-річна дівчинка, яка захищала батька від ТЦК",1,stopfake,3
«Штурмовик із ЗСУ закатав чоловіка в бетон за російську мову»,1,stopfake,3
Будапешт вийшов на найбільший «Марш миру» «проти війни та шантажу Зеленського»,1,stopfake,3
Внаслідок іранського удару по базі в Абу-Дабі загинуло 70 французьких військових – ISW,1,stopfake,3
Відеофейк: В українському мультфільмі – «пропаганда» служби в ЗСУ,1,stopfake,3
Україна лідирує за кількістю програних справ у ЄСПЛ,1,stopfake,3
"Зеленський побудував чотири таємні в’язниці у Карпатах, де катують ухилянтів",1,stopfake,3
В Україні «через обвал курсу гривні в магазинах техніки почали вказувати ціни в,1,stopfake,4
В Україні скоротять відпустку для догляду за дитиною до 4 місяців,1,stopfake,4
У банках України почалися перебої з готівкою після інциденту в Угорщині,1,stopfake,4
В Дубаї за мародерство після обстрілів затримали 19 українців — Euronews,1,stopfake,4
Через новий закон про евакуацію дітей по всій Україні будуть «силою відбирати та,1,stopfake,4
"Іран атакує США та Ізраїль ракетами, переданими Україні — USA Today",1,stopfake,4
В Україні хочуть скасувати 8 березня і «залишити жінок без квітів»,1,stopfake,4
У Дубаї під час атаки повністю згорів «маєток одного з колишніх заступників Сирського»,1,stopfake,4
Український посол назвав атаку Ірану по Дубаю «актом агресії проти України»,1,stopfake,4
Під час війни Україна стала хабом для розповсюдження наркотиків з Мексики,1,stopfake,4
"В ООН визнали, що трагедія в Бучі була провокацією",1,stopfake,5
Атаки на мережі українських АЕС «не несуть техногенних ризиків»,1,stopfake,5
Українських студентів примушують підписати молодіжний контракт прямо на заняттях,1,stopfake,5
Україна «скасувала виплати» сім’ям зниклих безвісти військових,1,stopfake,5
ЄС «викрив Україну в брехні» про нафтопровід «Дружба»,1,stopfake,5
В Україні масово закривають доступ до вищої освіти,1,stopfake,5
Французькі ЗМІ нібито розкритикували Макрона за «передачу ядерної зброї Україні»,1,stopfake,5
Сім’ї українських військовополонених закликають їх залишатися у Росії,1,stopfake,5
Поліція Мексики перехопила у наркокартелів український дрон-бомбардувальник «Баба-Яга»,1,stopfake,5
"Відеофейк: «Українські військові» заявляють, що влада не закінчує війну, бо їй це вигідно",1,stopfake,5
Французька армія «відпрацьовує битву за Москву» як сценарій війни проти Росії,1,stopfake,6
Вісім українських спортсменів не повернулися з Італії після зимових Олімпійських ігор 2026 року,1,stopfake,6
Українці обмалювали угорський пам’ятний знак образливими графіті,1,stopfake,6
Українське зерно викликало у Франції спалах дерматиту в худоби,1,stopfake,6
"Зеленський придбав маєток, що належав реперу й сексуальному злочинцю Пі Дідді",1,stopfake,6
Пентагон визнав «явну перевагу» російської армії над ЗСУ,1,stopfake,6
"У Сумах квартири людей, що залишили країну, передадуть ЗСУ",1,stopfake,6
Рівень довіри до поліції в Україні знизився до 4%,1,stopfake,6
США готуються невдовзі зняти санкції з Росії — The Economist,1,stopfake,6
Українці пограбували знімальну групу Euronews на Олімпіаді у Мілані,1,stopfake,6
Французький генерал закликав Європу вступити у війну з Росією,1,stopfake,7
Гра-симулятор «Втеча з ТЦК» стала найпопулярнішою в Україні,1,stopfake,7
Україна заявила про бойкот Паралімпіади,1,stopfake,7
Українських школярів змусили прийти в школу в шоломах на знак солідарності зі скелетоністом,1,stopfake,7
Відеофейк: «Втрати українських військових становлять 2 мільйони осіб — Deutsche Welle»,1,stopfake,7
У Німеччині пропонують пом’якшити «покарання для українців» за використання нацистської символіки,1,stopfake,7
"«Європа не хоче бачити Україну в ЄС, — Кая Каллас»",1,stopfake,7
ЄС скасовує безвіз для українців,1,stopfake,7
